Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Production_log,Yield_log,Area_log,Fertilizer_log,Pesticide_log
Horse-gram,2006,Kharif     ,Chhattisgarh,50346.0,15934,1317.2,6429687.66,11076.12,0.281666667,9.676273226851437,0.24816131454957563,10.826694313452013,15.676436675134834,9.312636998716355
Horse-gram,2006,Rabi       ,Chhattisgarh,2492.0,696,1317.2,318253.32,548.24,0.445384615,6.546785410760524,0.3683754556977382,7.821242083523558,12.670606090561616,6.308535504453551
Jowar,2006,Kharif     ,Chhattisgarh,5292.0,5206,1317.2,675841.32,1164.24,0.868235294,8.557759153162898,0.6249942922597466,8.574140471857987,13.423715073379183,7.060682353366637
Jute,2006,Rabi       ,Chhattisgarh,344.0,0,1317.2,43932.24,75.68,0.0,0.0,0.0,5.84354441703136,10.690426487949221,4.339640918177444
Khesari,2006,Rabi       ,Chhattisgarh,425361.0,225224,1317.2,54322853.31,93579.42,0.537333333,12.324855181519641,0.4300493135218772,12.960695850066733,17.81045558604187,11.446576452548626
Linseed,2006,Rabi       ,Chhattisgarh,64627.0,16192,1317.2,8253514.17,14217.94,0.239375,9.692334329073471,0.21460722029192336,11.07640303239672,15.926149748776162,9.562330157681444
Maize,2006,Kharif     ,Chhattisgarh,100145.0,123489,1317.2,12789517.95,22031.9,1.048888889,11.723915460111868,0.7172976408464584,11.514384400206472,16.36413656143253,10.000292069807314
Masoor,2006,Rabi       ,Chhattisgarh,16871.0,5490,1317.2,2154595.41,3711.62,0.308666667,8.610865667278873,0.2690088074408718,9.733410722158611,14.583113983238297,8.219493105820893
Mesta,2006,Kharif     ,Chhattisgarh,1256.0,2424,1317.2,160403.76,276.32,1.834615385,7.793586803371584,1.0419062613094943,7.136483208590247,11.985455649784706,5.62517207407429
Moong(Green Gram),2006,Kharif     ,Chhattisgarh,9516.0,2699,1317.2,1215288.36,2093.52,0.241111111,7.90100705199242,0.21600703565536444,9.160834952072344,14.010492762780657,7.647079689159834
Moong(Green Gram),2006,Rabi       ,Chhattisgarh,6971.0,1635,1317.2,890266.41,1533.62,0.243571429,7.400009517162692,0.2179874245094686,8.849657406639912,13.699277157253212,7.336038072370747
Niger seed,2006,Kharif     ,Chhattisgarh,72788.0,12791,1317.2,9295755.48,16013.36,0.153125,9.45657525451379,0.14247564824675496,11.19532012386709,16.045068561517276,9.681241098709611
Onion,2006,Whole Year ,Chhattisgarh,4484.0,23106,1317.2,572651.64,986.48,6.496470588,10.047890880908506,2.0144323215141897,8.408493774492896,13.258034598961048,6.895156243405622
Other  Rabi pulses,2006,Rabi       ,Chhattisgarh,2728.0,412,1317.2,348392.88,600.16,0.279375,6.023447592961033,0.24637167743341692,7.911690520708339,12.761088957790127,6.3988611220658935
Other Kharif pulses,2006,Kharif     ,Chhattisgarh,6487.0,1856,1317.2,828454.77,1427.14,0.267222222,7.526717561352706,0.2368272782247703,8.77770959579525,13.627318728786998,7.264128177309686
Peas & beans (Pulses),2006,Rabi       ,Chhattisgarh,16217.0,5789,1317.2,2071073.07,3567.74,0.324117647,8.663887570567042,0.2807463108180001,9.693877015504503,14.543577905068915,8.179967871298818
Potato,2006,Kharif     ,Chhattisgarh,1781.0,7189,1317.2,227451.51,391.82,6.25,8.880446450715093,1.9810014688665833,7.485491608030754,12.334696748329655,5.973351491681055
Potato,2006,Rabi       ,Chhattisgarh,9513.0,37815,1317.2,1214905.23,2092.86,4.25125,10.540487572473072,1.6584661435014547,9.160519676992227,14.01017745482376,7.646764531506773
Ragi,2006,Kharif     ,Chhattisgarh,9296.0,2576,1317.2,1187192.16,2045.12,0.233846154,7.854381210652365,0.21013624510152,9.137447046455858,13.98710238992313,7.62370059581806
Rapeseed &Mustard,2006,Rabi       ,Chhattisgarh,54471.0,21764,1317.2,6956491.41,11983.62,0.341666667,9.988058453986397,0.2939126224508642,10.905442087162802,15.755185941197563,9.391379440066288
Rice,2006,Kharif     ,Chhattisgarh,3905319.0,5441525,1317.2,498748289.5,859170.18,1.247222222,15.509570094201115,0.8096948855094485,15.177850284121307,20.02761209859355,13.663723459343624
Safflower,2006,Rabi       ,Chhattisgarh,989.0,222,1317.2,126305.19,217.58,0.228888889,5.407171771460119,0.20611041884838527,6.897704943128636,11.74646431743057,5.387152080248527
Sannhamp,2006,Whole Year ,Chhattisgarh,1571.0,518,1317.2,200632.41,345.62,0.321764706,6.251903883165888,0.2789677422300293,7.360103972989152,12.209234690990955,5.8482290790212295
Sesamum,2006,Kharif     ,Chhattisgarh,21335.0,6434,1317.2,2724692.85,4693.7,0.274444444,8.769507120030227,0.2425103534563241,9.96815106586185,14.81786663114405,8.454189491837235
Small millets,2006,Kharif     ,Chhattisgarh,200820.0,40745,1317.2,25646722.2,44180.4,1.076111111,10.615112954341846,0.730496485547709,12.210169243004737,17.059926370932935,10.696059165018891
Soyabean,2006,Kharif     ,Chhattisgarh,64474.0,64166,1317.2,8233974.54,14184.28,1.00625,11.069244338833569,0.696267307896189,11.074032830749546,15.923779510697907,9.559960086209223
Sugarcane,2006,Whole Year ,Chhattisgarh,7991.0,20316,1317.2,1020530.61,1758.02,2.463125,9.919213252997611,1.242171360639477,8.98619632032839,13.835834235764569,7.472512114769565
Sunflower,2006,Kharif     ,Chhattisgarh,6493.0,2724,1317.2,829221.03,1428.46,5.02,7.9102237070973445,1.7950872593207297,8.77863395266279,13.628243226967014,7.265052029559046
Sweet potato,2006,Whole Year ,Chhattisgarh,2683.0,15607,1317.2,342645.93,590.26,5.116666667,9.655538882302947,1.8110172858869655,7.895063498091573,12.744455837394087,6.382255852982353
Tobacco,2006,Whole Year ,Chhattisgarh,16.0,16,1317.2,2043.36,3.52,1.0,2.833213344056216,0.6931471805599453,2.833213344056216,7.622840061059984,1.5085119938441398
Turmeric,2006,Whole Year ,Chhattisgarh,879.0,743,1317.2,112257.09,193.38,0.792222222,6.612041034833092,0.5834563146769056,6.779921907472252,11.62855587427698,5.269815006075325
Urad,2006,Kharif     ,Chhattisgarh,109009.0,33137,1317.2,13921539.39,23981.98,0.284444444,10.408435939129243,0.25032628556199127,11.599194900122404,16.448947866949307,10.085099691085787
Urad,2006,Rabi       ,Chhattisgarh,5444.0,1374,1317.2,695253.24,1197.68,0.327692308,7.226209010100671,0.2834423284254948,8.602453035367061,13.452032870603325,7.088976230332059
Wheat,2006,Rabi       ,Chhattisgarh,93213.0,93952,1317.2,11904232.23,20506.86,1.06,11.450549936210459,0.7227059828014898,11.442653203984875,16.292404628437,9.928563506276038
Arhar/Tur,2006,Kharif     ,Delhi,385.0,578,462.7,49168.35,84.7,1.5,6.361302477572996,0.9162907318741551,5.955837369464831,10.803025740875858,4.450852825603734
Bajra,2006,Kharif     ,Delhi,1592.0,2945,462.7,203314.32,350.24,1.85,7.988203597022576,1.0473189942805592,7.373374309910049,12.22251335339311,5.8614697504917945
Barley,2006,Kharif     ,Delhi,75.0,196,462.7,9578.25,16.5,2.61,5.2832037287379885,1.2837077723447896,4.330733340286331,9.167354579800024,2.8622008809294686
Gram,2006,Rabi       ,Delhi,45.0,65,462.7,5746.95,9.9,1.44,4.189654742026425,0.8919980393051105,3.828641396489095,8.65659854848328,2.388762789235098
Jowar,2006,Kharif     ,Delhi,8840.0,8354,462.7,1128956.4,1944.8,0.95,9.030615441029495,0.6678293725756554,9.087155271405804,13.936805109913267,7.573428482541328
Maize,2006,Kharif     ,Delhi,67.0,122,462.7,8556.57,14.74,1.82,4.812184355372417,1.0367368849500223,4.219507705176107,9.054571550329985,2.756205242989257
Other Kharif pulses,2006,Kharif     ,Delhi,180.0,271,462.7,22987.8,39.6,1.51,5.605802066295998,0.9202827531436926,5.198497031265826,10.042762419787717,3.703768066607687
Potato,2006,Whole Year ,Delhi,55.0,873,462.7,7024.05,12.1,15.87,6.773080375655535,2.825536896557877,4.02535169073515,8.857237611614341,2.5726122302071057
Rice,2006,Kharif     ,Delhi,7381.0,20815,462.7,942627.51,1623.82,2.82,9.943477200752287,1.3402504226184837,8.906799883589944,13.756427539142095,7.3931523193977045
Sugarcane,2006,Whole Year ,Delhi,4.0,301,462.7,510.84,0.88,75.25,5.71042701737487,4.334017415487521,1.6094379124341003,6.2380120762012075,0.6312717768418579
Wheat,2006,Rabi       ,Delhi,17884.0,77885,462.7,2283965.64,3934.48,4.36,11.26300149812105,1.6789639750827108,9.791717651693117,14.641424243696903,8.277788135623206
Arhar/Tur,2006,Kharif     ,Gujarat,256800.0,215300,1056.2,32795928.0,56496.0,0.853913043,12.279792328023508,0.6172985636704658,12.456056744871358,17.305814949797703,10.941942818379685
Bajra,2006,Kharif     ,Gujarat,742300.0,528400,1056.2,94799133.0,163306.0,0.868571429,13.177610744134194,0.6251741972030971,13.51751010026895,18.36727083216243,12.003387143930839
Bajra,2006,Summer     ,Gujarat,183400.0,428500,1056.2,23422014.0,40348.0,2.365,12.968048350739535,1.213427963096691,12.11943029135234,16.969186950007547,10.605321890243529
Banana,2006,Whole Year ,Gujarat,26600.0,1891800,1056.2,3397086.0,5852.0,57.65846154,14.453039843358171,4.071731836475068,10.188704088048116,15.038428857647856,8.67470962929122
Castor seed,2006,Kharif     ,Gujarat,327100.0,588800,1056.2,41773941.0,71962.0,1.845454545,13.285843544764926,1.0457228245879926,12.698024270690864,17.547783305973013,11.183907377023155
Cotton(lint),2006,Kharif     ,Gujarat,2372100.0,7876400,1056.2,302940891.0,521862.0,3.100909091,15.8793816316147,1.411208678644102,14.679286618294427,19.529048268536272,13.165160380310915
Dry chillies,2006,Whole Year ,Gujarat,6900.0,6400,1056.2,881199.0,1518.0,0.948421053,8.764209507142004,0.6670193281679979,8.839421607620602,13.689039893910325,7.325807502595773
Garlic,2006,Whole Year ,Gujarat,32000.0,211300,1056.2,4086720.0,7040.0,5.95,12.261038936200617,1.9387416595767009,10.373522431293592,15.223253494985016,8.859505484519133
Gram,2006,Rabi       ,Gujarat,197000.0,187200,1056.2,25158870.0,43340.0,1.028,12.139938184891703,0.7070500857289368,12.190964083849375,17.040721115975707,10.676854348197491
Groundnut,2006,Kharif     ,Gujarat,1752400.0,1675800,1056.2,223799004.0,385528.0,1.060869565,14.331801817891066,0.7231280126663958,14.376497405567688,19.226258907898345,12.862371696134066
Groundnut,2006,Summer     ,Gujarat,100100.0,174600,1056.2,12783771.0,22022.0,1.750454545,12.0702586497481,1.0117661871106525,11.513934955263402,16.36368711203566,9.99984264077889
Guar seed,2006,Whole Year ,Gujarat,204700.0,82800,1056.2,26142237.0,45034.0,0.445454545,11.324195417595107,0.36842383611334983,12.2293056568353,17.079062878409825,10.715195244217844
Jowar,2006,Kharif     ,Gujarat,95600.0,106700,1056.2,12209076.0,21032.0,1.106666667,11.577785809317154,0.7451069196488842,11.467938559235831,16.31769024945394,9.953847911875078
Jowar,2006,Rabi       ,Gujarat,50900.0,42600,1056.2,6500439.0,11198.0,0.963333333,10.659633006160352,0.6746437088256063,10.837637848711049,15.687380424882537,9.323579767582693
Maize,2006,Kharif     ,Gujarat,447700.0,201700,1056.2,57175767.0,98494.0,0.529375,12.214541681788218,0.42485915521479906,13.01188087786516,17.861640730227155,11.497761064450456
Moong(Green Gram),2006,Kharif     ,Gujarat,193200.0,67000,1056.2,24673572.0,42504.0,0.365,11.112462823634855,0.31115442863692305,12.171486376730597,17.02124330979792,10.65737699505146
Moth,2006,Kharif     ,Gujarat,44100.0,13500,1056.2,5632011.0,9702.0,0.346666667,9.510519035757246,0.2976324035524737,10.694237736914808,15.543977307499564,9.1801903950253
Onion,2006,Whole Year ,Gujarat,43300.0,1051800,1056.2,5529843.0,9526.0,21.8045,13.866014490888022,3.1269578849068633,10.675931008412125,15.525670163335697,9.161885151706779
Other  Rabi pulses,2006,Rabi       ,Gujarat,11500.0,8400,1056.2,1468665.0,2530.0,0.7775,9.036106025364846,0.5752078826952589,9.350189267092581,14.19986506374975,7.836369760545124
Other Cereals,2006,Kharif     ,Gujarat,11500.0,6100,1056.2,1468665.0,2530.0,0.6375,8.716207971151853,0.4931706885272699,9.350189267092581,14.19986506374975,7.836369760545124
Other Cereals,2006,Rabi       ,Gujarat,45900.0,62100,1056.2,5861889.0,10098.0,1.219230769,11.036517370851499,0.7971606353885856,10.734242182303689,15.583982635150265,9.220191688026556
Other Kharif pulses,2006,Kharif     ,Gujarat,36800.0,22200,1056.2,4699728.0,8096.0,0.656666667,10.007892611890918,0.5048075516416348,10.513280297700861,15.363015405443441,8.999248901686114
Potato,2006,Whole Year ,Gujarat,51700.0,1078400,1056.2,6602607.0,11374.0,20.45727273,13.890989946439452,3.0660636429195196,10.853232402669228,15.702975280460006,9.33917324381915
Ragi,2006,Kharif     ,Gujarat,20400.0,20500,1056.2,2605284.0,4488.0,1.0,9.928228944424575,0.6931471805599453,9.923339198238729,14.773052632175718,8.409385238781931
Rapeseed &Mustard,2006,Rabi       ,Gujarat,347800.0,476100,1056.2,44417538.0,76516.0,1.238636364,13.073385295579481,0.8058669144222186,12.759385756113828,17.60914497192412,11.24526821734915
Rice,2006,Kharif     ,Gujarat,655600.0,1045200,1056.2,83726676.0,144232.0,1.601875,13.859719769382824,0.9562323389671028,13.393307651170966,18.243068206303608,11.87918532647217
Rice,2006,Summer     ,Gujarat,33700.0,96000,1056.2,4303827.0,7414.0,2.855555556,11.472113887062386,1.3495151097318678,10.425282789490705,15.275015417199944,8.911260254572033
Sesamum,2006,Kharif     ,Gujarat,328800.0,105000,1056.2,41991048.0,72336.0,0.248571429,11.561725152903833,0.2220000409553802,12.703207983522068,17.552967034486933,11.189091033813968
Sugarcane,2006,Whole Year ,Gujarat,216100.0,16554000,1056.2,27598131.0,47542.0,71.79642857,16.622138382835836,4.287666895894857,12.283501169971546,17.133258647237486,10.769389843677056
Tobacco,2006,Whole Year ,Gujarat,57000.0,98400,1056.2,7279470.0,12540.0,1.7225,11.496806245590331,1.0015505758249785,10.950824090522445,15.800568752697487,9.43675855582405
Urad,2006,Kharif     ,Gujarat,89500.0,39200,1056.2,11430045.0,19690.0,0.510833333,10.576457535657255,0.4126613747581306,11.402005077384885,16.251756060259833,9.88791695754517
Wheat,2006,Rabi       ,Gujarat,1072300.0,2791500,1056.2,136943433.0,235906.0,2.5696,14.84209000196283,1.272453544696131,13.885317364782642,18.73507850801869,12.371192938546018
Arhar/Tur,2006,Kharif     ,Haryana,27412.0,29800,329.3,3500786.52,6030.64,0.817368421,10.30229722897745,0.5973895322065003,10.21877263241388,15.06849850686394,8.704774226209157
Bajra,2006,Kharif     ,Haryana,618985.0,1021000,329.3,79050574.35,136176.7,1.8815,13.836294076578252,1.0583109918945839,13.335837934286568,18.18559839989814,11.821715929483256
Barley,2006,Rabi       ,Haryana,37650.0,115000,329.3,4808281.5,8283.0,1.874,11.652696102959753,1.0557047876568333,10.536114793300285,15.385850509710702,9.022081222515475
Castor seed,2006,Kharif     ,Haryana,5543.0,2400,329.3,707896.53,1219.46,0.5,7.783640596221253,0.4054651081081644,8.620471540869739,13.470054630562805,7.106983115842451
Cotton(lint),2006,Kharif     ,Haryana,527693.0,1805000,329.3,67391673.03,116092.46,1.556315789,14.406071703765585,0.9385670770059134,13.176271849232473,18.02603203753982,11.662150835349992
Dry chillies,2006,Whole Year ,Haryana,1467.0,1200,329.3,187350.57,322.74,0.505625,7.0909098220799835,0.40920809438699873,7.291656209174461,12.140742184224084,5.779940724505814
Garlic,2006,Whole Year ,Haryana,415.0,7500,329.3,52999.65,91.3,8.9425,8.922791623969637,2.2968184980997086,6.030685260261263,10.878059456609998,4.525044141508807
Gram,2006,Rabi       ,Haryana,107656.0,90000,329.3,13748747.76,23684.32,0.475,11.407576060361786,0.3886579897917832,11.58670552622419,16.436458378663442,10.07261072592734
Groundnut,2006,Kharif     ,Haryana,1654.0,1300,329.3,211232.34,363.88,0.521666667,7.170888478512505,0.4198062255978801,7.411556287811163,12.260718678204174,5.899568532403445
Horse-gram,2006,Kharif     ,Haryana,2057.0,600,329.3,262699.47,452.54,0.23,6.398594934535208,0.20701416938432615,7.629489916393995,12.478769764785087,6.11708346853214
Jowar,2006,Kharif     ,Haryana,89158.0,27000,329.3,11386368.18,19614.76,0.188125,10.203629181337648,0.17237643426055654,11.398176571645072,16.247927511997027,9.884088603750813
Maize,2006,Kharif     ,Haryana,13412.0,30000,329.3,1712846.52,2950.64,0.520625,10.308985993422082,0.41912143455565,9.50397966490209,14.35366775991759,7.990116227064196
Masoor,2006,Rabi       ,Haryana,4461.0,3500,329.3,569714.31,981.42,0.533846154,8.160803920954665,0.4277784071724564,8.403352374992478,13.252892058900617,6.890018915491839
Moong(Green Gram),2006,Kharif     ,Haryana,21380.0,9300,329.3,2730439.8,4703.6,0.308947368,9.137877200242468,0.2692232783272001,9.97025795616998,14.819973619328504,8.456296032464932
Moth,2006,Kharif     ,Haryana,1917.0,300,329.3,244820.07,421.74,0.1775,5.707110264748875,0.16339354690843574,7.559038255443384,12.408282896177914,6.046757332856691
Onion,2006,Whole Year ,Haryana,2543.0,49700,329.3,324766.53,559.46,18.98352941,10.813780332606648,2.9949084047672843,7.841492924460013,12.690864913060583,6.328757875112813
